Name,Age,Salary,Purchased
Daniel,26.0,107656,Yes
Aarna,60.0,82407,Yes
Yashvi,32.0,28324,Yes
Sanaya,51.0,75956,No
Peter,39.0,90494,Yes
Hemani,48.0,27151,No
Vasudha,,128255,Yes
Chakrika,33.0,130788,Yes
Samantha,63.0,139058,Yes
Jack,57.0,55537,Yes
Ijaya,,43558,No
Matthew,,143905,Yes
Vasudha,,116920,Yes
Thomas,,107924,No
Jennifer,26.0,84793,Yes
Luis,24.0,132190,Yes
Bradley,58.0,129749,Yes
Arin,,51560,No
Deborah,63.0,77692,No
Yagnesh,56.0,96550,No
Nathaniel,33.0,125168,No
Anita,24.0,40826,No
Jesse,30.0,116264,No
Crystal,35.0,146330,Yes
Rachana,60.0,105273,No
Anthony,51.0,35580,No
Shivani,25.0,117633,Yes
Paul,46.0,115898,Yes
Samesh,64.0,41632,No
Karen,53.0,84037,No
Harsh,59.0,115659,No
Jasmit,51.0,105222,Yes
James,39.0,70593,No
Adweta,32.0,40401,Yes
Allison,59.0,72435,Yes
Candice,52.0,53740,No
Brenda,33.0,61231,No
Michael,29.0,114816,Yes
Christina,51.0,48111,No
Samantha,23.0,109523,No
Krish,36.0,68816,Yes
David,49.0,30677,No
Daryl,,95432,No
Heather,51.0,92489,No
Robert,48.0,102687,Yes
Leela,63.0,142751,No
Jacob,40.0,54855,No
Ojas,32.0,74221,Yes
Keith,,101689,No
Divya,29.0,53333,Yes
Christine,44.0,73953,No
Stephanie,60.0,72001,Yes
Derrick,28.0,29206,Yes
Tamara,,42891,No
Robert,46.0,47439,Yes
Robert,38.0,104119,No
Tracy,59.0,143695,No
Azaan,34.0,36334,No
Brinda,33.0,102539,No
Anvi,20.0,120684,No
Bhavya,35.0,67899,No
Tanvi,57.0,149027,No
Andrea,20.0,79758,Yes
Ishaan,,86689,Yes
Kimberly,47.0,94615,No
Amber,64.0,132648,No
Ridhi,25.0,98202,Yes
Pavani,46.0,149509,No
Yug,35.0,109887,Yes
Nancy,,112691,No
Shivani,56.0,122948,Yes
Michael,49.0,126165,No
Reva,31.0,128528,Yes
Warjas,65.0,108021,No
Indali,44.0,142104,Yes
Gabriel,38.0,80823,Yes
Samuel,59.0,96098,Yes
Daniel,63.0,35611,Yes
Amanda,23.0,92467,Yes
Ekiya,23.0,39544,No
Keith,22.0,72916,No
Stephanie,65.0,33782,Yes
Krishna,28.0,68899,No
Samantha,50.0,121649,Yes
Michelle,64.0,52498,Yes
Kevin,40.0,71230,Yes
Madhav,47.0,61325,No
Maria,48.0,88730,Yes
Tracy,50.0,118038,Yes
Courtney,38.0,84241,Yes
Shannon,64.0,131010,Yes
Neha,32.0,141903,Yes
Heather,,76207,Yes
Shawn,24.0,39334,No
Mark,29.0,90054,No
Girik,60.0,27974,No
Cynthia,54.0,147122,No
Melissa,48.0,121693,Yes
Jeffery,24.0,27888,Yes
Mallory,53.0,109498,No
Joseph,61.0,109679,Yes
Matthew,62.0,116339,Yes
Vedhika,49.0,64856,Yes
Patricia,39.0,47509,Yes
Chakradhar,43.0,62767,Yes
Tripti,,71284,No
Jeet,59.0,146127,No
Ridhi,31.0,47984,Yes
Aaron,62.0,129131,No
James,22.0,66500,Yes
Chasmum,43.0,49182,No
Anusha,62.0,66542,Yes
Jalsa,48.0,95761,Yes
Christopher,27.0,145643,No
Charles,29.0,149228,No
Connie,20.0,121796,Yes
Pushti,61.0,117464,No
Girish,56.0,112410,No
Tanay,48.0,69392,Yes
Christian,22.0,43274,Yes
Zilmil,21.0,77642,Yes
Albert,42.0,37121,No
Lisa,32.0,101471,Yes
Heather,37.0,50652,No
Chad,48.0,113744,Yes
Christopher,,92081,No
Harshil,58.0,104308,Yes
Michael,,112394,No
Derrick,47.0,73448,No
Luke,,70209,No
Abhiram,55.0,36481,No
Ria,46.0,130340,No
Jennifer,47.0,120499,Yes
Nisha,57.0,103372,No
Michelle,50.0,138708,Yes
Harish,57.0,124105,No
Jatin,,108729,Yes
Michael,55.0,85570,Yes
Leonard,28.0,51117,No
Yug,55.0,89302,No
Deanna,57.0,64834,No
Bhavani,34.0,28517,Yes
Charvi,39.0,108958,Yes
Zarna,61.0,112282,Yes
Manya,51.0,143855,Yes
Debbie,27.0,125233,No
Warda,24.0,103497,Yes
Daniel,56.0,82156,Yes
Danielle,50.0,115996,Yes
Advik,56.0,27299,Yes
Sarah,23.0,44154,No
Lila,28.0,71843,No
Michael,46.0,108394,Yes
Urishilla,38.0,63228,Yes
Anay,52.0,50403,Yes
Akshay,26.0,103480,Yes
Jason,40.0,133373,Yes
Mitali,37.0,114842,Yes
Courtney,54.0,101027,No
Rodney,28.0,92917,No
Christopher,46.0,69605,Yes
Arunima,33.0,45257,Yes
Dayita,55.0,105403,Yes
Yasti,54.0,118394,Yes
Nachiket,27.0,79702,No
Peter,,132327,No
Dayita,,70640,No
Jessica,48.0,141618,Yes
Dalbir,41.0,47571,Yes
Gabriel,,131767,No
Darren,64.0,43659,Yes
Dayamai,33.0,42067,Yes
Jagdish,27.0,35188,No
Laksh,47.0,30572,No
Nihal,,111479,Yes
Stephanie,,40587,Yes
Gary,,64537,Yes
Amruta,27.0,145599,Yes
Ayushman,32.0,49219,Yes
Lindsay,,44078,Yes
Alexandria,57.0,70591,No
Jennifer,59.0,56696,Yes
Watika,,132424,Yes
William,,53442,Yes
Xalak,30.0,143182,Yes
Jhalak,,120072,No
Aadhya,52.0,136581,Yes
Jack,57.0,49264,No
Yashodhara,31.0,134411,No
Chaitanya,33.0,92403,No
Yash,40.0,41202,No
Urmi,51.0,124912,No
Patrick,22.0,35780,No
Praneel,38.0,84892,Yes
Oni,48.0,54605,Yes
Ekanta,47.0,49744,Yes
Omaja,50.0,148087,Yes
Joseph,63.0,89441,Yes
Kashish,53.0,111317,Yes
Yadavi,45.0,77510,Yes
Praneel,30.0,33481,No
Zaitra,32.0,102982,Yes
Nandini,34.0,134852,No
Udyati,65.0,125397,Yes
Kiara,61.0,148630,No
Mark,58.0,149536,No
Alan,37.0,44316,Yes
Bishakha,36.0,89138,No
Jodi,28.0,28895,No
Ucchal,,33942,No
Brittany,,48474,No
Whitney,29.0,64682,Yes
Yatan,,35029,Yes
Abeer,51.0,128904,No
Andrew,51.0,89258,Yes
Cynthia,54.0,96646,No
Gautami,47.0,140359,Yes
Krisha,40.0,136787,No
Dalton,22.0,48182,Yes
Oni,39.0,140959,Yes
Susan,28.0,65954,Yes
Ati,27.0,99560,Yes
Caleb,63.0,95699,Yes
Zinal,30.0,91412,No
Jaclyn,57.0,74518,Yes
Stephen,38.0,67006,No
Girish,28.0,134698,No
Meera,57.0,28525,Yes
David,44.0,37759,No
Elaine,46.0,71041,No
Warjas,35.0,109945,No
Jose,,115176,No
Sara,41.0,47253,No
Jaclyn,49.0,111214,Yes
Louis,46.0,59946,No
Jesus,21.0,66486,No
Laban,56.0,37809,Yes
Nachiket,63.0,51988,No
Nitesh,62.0,69504,No
Steven,47.0,51444,No
David,24.0,135150,Yes
Tami,36.0,31230,No
Siya,34.0,106863,Yes
Steven,,135649,Yes
Gautam,37.0,33817,Yes
Daksha,47.0,52490,No
Tanveer,,132969,No
Eddie,47.0,111960,Yes
Ishani,45.0,57933,Yes
William,55.0,48671,Yes
Jorge,53.0,138077,No
Azaan,62.0,132991,Yes
Melissa,60.0,94824,Yes
Girindra,47.0,147504,Yes
Curtis,53.0,51299,No
Jairaj,29.0,122836,Yes
David,47.0,78773,No
Kalpit,24.0,108090,No
Nandini,38.0,109678,No
Gina,35.0,78197,No
Aashi,21.0,57189,Yes
Anthony,51.0,98377,Yes
Rudra,22.0,51475,No
Lisa,36.0,128503,Yes
Garima,31.0,109448,Yes
Brijesh,51.0,127528,No
Brent,25.0,66144,Yes
Lorraine,46.0,142541,No
Tyler,25.0,77021,Yes
Felicia,28.0,55938,No
